Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY23,,DECETIVE TECHNOLOGY,DS/CTS/CMO/CO,New,,,4 years,Q2,$1M-$5M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY23,,SECURITY OPTIMIZATION AND ATTACKER EMULATION,DS/CS/CMO/CO/DEI,New,,,3 years,Q3,$1M-$5M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,1000000.0,5000000.0
FY23,,NETWORK INTRUSION DETECTION MODERNIZATION,DS/CTS/CMO/CO/DEI,New,,,3 years,Q2,$1M-$5M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,1000000.0,5000000.0
FY23,,SECURITY OPERATIONS CENTER CENTRALIZED LOGGING AND SECURITY EVENT AGGREGATION SOLUTION,DS/CTS/CO,New,,,3 years,Q3,$1M-$5M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,1000000.0,5000000.0
FY23,,CLASSNET INTELLIGENCE DRIVE THREAT HUNTING AND ENDPOINT PROTECTION (EDR),DS/CTS/CMO/CO,New,,,2 years,Q3,$1M-$5M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,1000000.0,5000000.0
FY23,,FIREEYE AUTOMATED DYNAMIC MALWARE ANALYSIS (ADMA),DS/CTS/CMO/MIRD,Recompete,International Systems ,Competitive,4 years,Q2,$1M-$5M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY23,,SERVICENOW SECOPS PHANTOM,DS/CTS/CMO/MIRD,Recompete,Acuity,Sole Source,3 years,Q3,$1M-$5M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY23,,SERVICENOW ENTERPRISE LICENSING INTEGRATION,DS/CTS/CMO/CO,New,,,4 years,Q3,$1M-$5M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY23,,HYPER CONVERGED/OTA OPENET & CLASSNET INFRASTRUCTURE UPGRADE ,DS/CTS/CMO/CO/OTA-DS,New,,,1 time purchase,Q4,$1M-$5M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,1000000.0,5000000.0
FY23,,HARDWARE REFRESH AND EXPANSION OF EXISTING SPLUNK CORE INFRASTRUCTURE,DS/CTS/CMO/CO,New,,,1 time purchase,Q4,$500K-$1M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,500000.0,1000000.0
FY23,,REDHAT OPERATING SYSTEM FOR SERVER INFRASTRUCURE,DS/CTS/CMO/CO,Recompete,FCN,Competitive,4 years,Q2,$500K-$1M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY23,,CLASSNET USER BEHAVIOR ANALYTICS,DS/CTS/CMO/CO,New,,,1 time purchase,Q2,$500K-$1M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,500000.0,1000000.0
FY23,,ORACLE AS LICENSES BPA,DS/CTS/CMO/CO,Recompete,"Emergent, LLC",Competitive,3 years,Q2,$500K-$1M,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY23,,SPUNK HARDWARE REFRESH,DS/CTS/CMO/CO,Recompete,Standard-Blazar,Competitive,1 time purchase,Q2,$500K-$1M,USA,"Molina, Kate",,332510 - Hardware Manufacturing,500000.0,1000000.0
FY23,,MICROSOFT PREMIER SERVICES,DS/CTS/CMO/CO,Recompete,Microsoft,,2 years,Q3,$250k-500K,USA,"Molina, Kate",,813920 - Professional Organizations,250000.0,500000.0
FY23,,FIREEYE EX EMAIL SECURITY SOLUTION REFRESH ,DS/CTS/CMO/CO,New,,,1 time purchase,Q3,$250k-500K,USA,"Molina, Kate",,332510 - Hardware Manufacturing,250000.0,500000.0
FY23,,AZURE CLOUD BPA,DS/CTS/CMO/CO,Recompete,CDWG,Competitive,1 year,Q3,$250k-500K,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY23,,PROOFPOINT EMERGING THREAT,DS/CTS/CMO/CO,Recompete,ViniTech Inc,Competitive,3 years,Q2,$250k-500K,USA,"Molina, Kate",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY23,,FOR BACKGROUND INVESTIGATIONS - VERIFICATION OF DEGREE AND DATES ATTENDED. CURRENTLY BEING DONE VIA PCARD.,DS/SI,Recompete,National Student Clearinghouse,Competitive,5 years,Q3,$100M-$500M,USA,"Molina, Kate",,611710 - Educational Support Services,100000000.0,500000000.0
FY23,,CHART ANALYSIS CAPABILITIES IN SUPPORT OF  VISA AND PASSPORT CRIMINAL INVESTIGATIONS - 100 LICENSES FOR IBM I2 ANALYSTS LAPTOPS AND ONSITE SUPPORT & SUBSCRIPTION RENEWAL ,DS/DO/INV,Recompete,Frontier Technology Services ,Competitive,5 years,Q4,$500K-$1M,USA,"Roper Jr, BJ (Melton)",,"541990 - All Other Professional, Scientific and Technical Services",500000.0,1000000.0
FY23,,"EXECUTIVE OFFICE, LOGISTICS SERVICES, POLICY & PLANNING, DS FRONT OFFICE, DSS FRONT OFFICE, OSAC AND PUBLIC AFFAIRS.",DS/EX,Recompete,Tatitlek,Sole Source,5 years,Q3,$50M-$100M,USA,"Lichliter, Erika L",,561110 - Office Administrative Services,50000000.0,100000000.0
FY23,,LS MODERNIZATION WEB TOOL,DS/EX/MGT/LS,Recompete,CGI,Competitive,3 years,Q2,$1M-$5M,USA,"Lichliter, Erika L",,541513 - Computer Facilities Management Services,1000000.0,5000000.0
FY23,,DS CTO ENTERPRISE ACCREDITATION AND SECURITY SERVICES,DS/EX/CTO,Recompete,Cayuse,Sole Source,5 years,Q3,$10M-$20M,USA,"Lichliter, Erika L",,541519 - Other Computer Related Services,10000000.0,20000000.0
FY23,,DSS NETWORK SUPPORT SERVICES,DS/EX/CTO,Recompete,Lumen(Level 3),Sole Source,1 year,Q3,$1M-$5M,USA,"Lichliter, Erika L",,517919 - All Other Telecommunications,1000000.0,5000000.0
FY23,,DS CTO PROJESSIONAL AND TECHNICAL RESEARCH AND STRATEGIC ADVISORY SERVICES,DS/EX/CTO,Recompete,Gartner,Sole Source,1 year,Q2,$500K-$1M,USA,"Lichliter, Erika L",,541690 - Other Scientific and Technical Consulting Services,500000.0,1000000.0
FY23,,OVERSEAS TRAINING FACILITY MANTAINENCE CONTRACT,DS/T/ATA,Recompete,Lumbee,Sole Source,5 years,Q4,$100M-$500M,WORLDWIDE,"Roper Jr, BJ (Melton)",,561210 - Facilities Support Services12,100000000.0,500000000.0
FY23,,DOMESTIC LABOR CONTRACT,DS/TIA,Recompete,Alutiiq,Competitive,5 years,Q1,$10M-$20M,USA,"Roper Jr, BJ (Melton)",,541611 - Administrative Management and General Management Consulting Services,10000000.0,20000000.0
FY23,,EVALUATION CONTRACT - CT LAW ENFORCEMENT,CT/P,New,,,5 years,Q4,$1M-$5M,USA,"Parkinson, Ivan",,541611 - Administrative Management and General Management Consulting Services,1000000.0,5000000.0
FY23,,COUNTRY REPORTS ON TERRORISM STATISCAL ANNEX,CT/FO,Recompete,Development Services Group,Competitive,5 years,Q4,$5M-$10M,USA,"Picard, Vincent M",,541611 - Administrative Management and General Management Consulting Services,5000000.0,10000000.0
FY23,,PROGRAM MANAGEMENT,CT/EX,Recompete,Olgoonik,Competitive,5 years,Q2,$1M-$5M,USA,"Kandler, Jennifer B",,541611 - Administrative Management and General Management Consulting Services,1000000.0,5000000.0
FY23,,"FSI TRAINING, ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES",FSI,Recompete,CTR Management Group GAP Solutions Joint Venture (CGJV),Competitive,5 years,Q4,$50M-$100M,USA,"Greene, Dudley L",,561110 - Office Administrative Services,50000000.0,100000000.0
FY23,,PROFESSIONAL SUPPORT SERVICES,FSI,Recompete,Daniel Eke & Associates,Competitive,5 years,Q4,$10M-$20M,USA,"Greene, Dudley L",,541611 - Administrative Management and General Management Consulting Services,10000000.0,20000000.0
FY23,,OFFSITE CONFERENCE CENTER AND LODGING,FSI/SPAS/OR       FSI/LMS,Recompete,Delta Hunt Valley,Competitive,5 years,Q2,$1M-$5M,USA,"Girard, Alyse N",,721110 - Hotels (except Casino Hotels) and Motels,1000000.0,5000000.0
FY23,,AUDIO VISUAL SUPPORT SERVICES,FSI/EX/AV,Recompete,National Capital Captioning,Competitive,5 years,Q3,$10M-$20M,USA,"Paek, Jane",,512110 - Motion Picture and Video Production,10000000.0,20000000.0
FY23,,FOREIGN SERVICE WRITING,FSI/SPAS/OR,Recompete,Multiple Vendors,Competitive,5 years,Q2,$1M-$5M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,"AV EQUIPMENT - VIDEO, AUDIO, AND IT",FSI/EX/AV,Recompete,Copper River Enterprise Services,Competitive,5 years,Q4,$20M-$50M,USA,"Paek, Jane",,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,20000000.0,50000000.0
FY23,,JSP COUNSELOR SERVICES,FSI/TC,Recompete,Multiple Vendors,Competitive,5 years,Q3,$1M-$5M,USA,"Paek, Jane",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,TRADE AGREEMENT MONITORING & IMPLEMENTATION,FSI/SPAS/ECON,Recompete,International Law Institute,Competitive,5 years,Q3,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,IT SUPPORT SERVICES,FSI/EX/OMIS,Recompete,Telesis,Competitive,5 years,Q4,$10M-$20M,USA,"Paek, Jane",,541519 - Other Computer Related Services,10000000.0,20000000.0
FY23,,SYSTEMS AND NON-SYSTEMS FURNITURE,FSI/EX/GSO,Recompete,Multiple Vendors,Competitive,5 years,Q3,$20M-$50M,USA,"Paek, Jane",,337211 - Wood Office Furniture Manufacturing,20000000.0,50000000.0
FY23,,OFF-SITE COURSE FACILITATOR,FSI/SPAS/CSD,Recompete,Multiple Vendors,Competitive,5 years,Q4,$1M-$5M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,INTERNAL ORGANIZATIONAL WORK STRUCTURE EVALUATION,FSI/SLS,New,,,< 12 months,Q4,$500K-$1M,USA,"Cochran, Grayson E",,541612 - Human Resources Consulting Services,500000.0,1000000.0
FY23,,INFORMATION ASSURANCE SUPPORT,FSI/EX/OMIS,Recompete,"Opus Group, LLC",Competitive,5 years,Q4,$5M-$10M,USA,"Paek, Jane",,541513 - Computer Facilities Management Services,5000000.0,10000000.0
FY23,,CONSTRUCTION,FSI/EX/GSO,New,,,5 years,Q4,$5M-$10M,USA,"Paek, Jane",,541330 - Engineering Services,5000000.0,10000000.0
FY23,,CLASSIFIED DIGITIZATION,FSI/OH,New,,,5 years,Q4,$500K-$1M,USA,"Paek, Jane",,"518210 - Data Processing, Hosting, and Related Services",500000.0,1000000.0
FY23,,CONTENT MANAGEMENT ENTERPRISE SYSTEM,FSI/OH,New,,,5 years,Q4,$1M-$5M,USA,"Paek, Jane",,541611 - Administrative Management and General Management Consulting Services,1000000.0,5000000.0
FY23,,SOCIAL MEDIA REDESIGN TRAINING,FSI/SPAS/PD,New,,,5 years,Q3,$1M-$5M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,COR TRAINING,FSI/SPAS/MTT,Recompete,Business Management Research and Associates,Competitive,5 years,Q2,$500K-$1M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,500000.0,1000000.0
FY23,,BUILDING AUTOMATION SYSTEMS TRAINING,FSI/SPAS/MTT,New,,,5 years,Q2,$500K-$1M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,500000.0,1000000.0
FY23,,HVAC AND GENERATOR TRAINING,FSI/SPAS/MTT,New,,,5 years,Q2,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,PSYCHOLOGY OF PERSUASION TRAINING,FSI/SPAS/POL,New,,,5 years,Q3,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,STATE DEPARTMENT ONE TEAM MISSION TRAINING FACILITATION,FSI/SPAS/OR,New,,,5 years,Q4,$1M-$5M,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,TRAINING FOR LIMITED NON-CAREER APPOINTMENT PERSONNEL,FSI/SPAS/OR,New,,,5 years,Q3,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,POL/ECON TRADECRAFT TRAINING AND MULTI-LATERAL DIPLOMACY TRAINING,FSI/SPAS/POL,New,,,5 years,Q3,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,PRESENTATION AND BRIEFING SKILLS TRAINING,FSI/SPAS/POL,New,,,5 years,Q2,$250k-500K,USA,"Girard, Alyse N",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,COMMUNITY POLICING PROGRAM,INL/AME,Recompete,UNDP,Sole Source,One to three years,Q1,$500K-$1M,COTE D''LVOIRE,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,COTE D'IVOIRE JUSTICE PROGRAM,INL/AME,Recompete,UNDP,Sole Source,One to three years,Q1,$1M-$5M,COTE D''LVOIRE,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",1000000.0,5000000.0
FY23,,ELECTIONS SECURITY PROJECT,INL/AME,New,,,One year or less,Q1,$500K-$1M,SIERRA LEONE,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",500000.0,1000000.0
FY23,,WEST AFRICA REGIONAL HUMAN TRAFFICKING PROJECT,INL/AME,Recompete,The International Development Law Organization (IDLO),Sole Source,One to three years,Q1,$500K-$1M,SIERRA LEONE,"Gaudreau, Margaret R",,922110 - Courts,500000.0,1000000.0
FY23,,BENIN COMMUNITY POLICING PROJECT,INL/AME,Recompete,United Nations Development Programme (UNDP),Sole Source,One to three years,Q1,$1M-$5M,BENIN,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",1000000.0,5000000.0
FY23,,BENIN JUSTICE PROJECT,INL/AME,Recompete,UNDP,Sole Source,One to three years,Q1,$1M-$5M,BENIN,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",1000000.0,5000000.0
FY23,,PICK UP TRUCKS FOR PERUVIAN COUNTERDRUG POLICE,INL/WHP,New,,,One year or less,Q1,$500K-$1M,PERU,"Gaudreau, Margaret R",,336110 - Automobile and Light Duty Motor Vehicle Manufacturing,500000.0,1000000.0
FY23,,REFURBISHMENT OF THE SERBIAN NATIONAL FORENSIC CENTER,INL/EA,New,,,One year or less,Q2,$250k-500K,SERBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,250000.0,500000.0
FY23,,ENTRY-LEVEL SIMULATOR SYSTEM FOR LIBERIA NATIONAL POLICE.,INL/AME,New,,,One to three years,Q2,$250k-500K,LIBERIA,"Gaudreau, Margaret R",,922120 - Police Protection,250000.0,500000.0
FY23,,CONSTRUCTION OF DIRANDRO FACILITIES,INL/EX,New,,,One to three years,Q3,$500K-$1M,PERU,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,500000.0,1000000.0
FY23,,JERUSALEM RADIO PHASE 2 PART 1,INL/AME,Recompete,Motorola Solutions LLC,Sole Source,One to three years,Q1,$20M-$50M,ISRAEL,"Gaudreau, Margaret R",,517810 - All Other Telecommunications,20000000.0,50000000.0
FY23,,PASF LAW ENFORCEMENT EQUIPMENT,INL/AME,New,,,One year or less,Q2,$500K-$1M,ISRAEL,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,500000.0,1000000.0
FY23,,COMPLEX INVESTIGATIONS TRAINING,INL/AME,New,,,One to three years,Q3,$1M-$5M,ISRAEL,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,COMMUNITY ORIENTED POLICING,INL/AME,New,,,One to three years,Q2,$1M-$5M,ISRAEL,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,1000000.0,5000000.0
FY23,,INTEGRATED BALLISTICS IDENTIFICATION SYSTEM,INL/AME,New,,,One year or less,Q3,$500K-$1M,ISRAEL,"Gaudreau, Margaret R",,334516 - Analytical Laboratory Instrument Manufacturing,500000.0,1000000.0
FY23,,CORRECTIONS PROFESSIONALIZATION PROJECT,INL/AME,New,,,Three to five years,Q4,$5M-$10M,ISRAEL,"Gaudreau, Margaret R",,922140 - Correctional Institutions,5000000.0,10000000.0
FY23,,PUBLIC PROSECUTORS CASE MANAGEMENT SYSTEM,INL/AME,New,,,One to three years,Q3,$1M-$5M,ISRAEL,"Gaudreau, Margaret R",,922110 - Courts,1000000.0,5000000.0
FY23,,AVIATION OCCUPANTS PERSONAL ACCIDENT INSURANCE POLICY,INL/WHP,New,,,One year or less,Q4,$250k-500K,PERU,"Gaudreau, Margaret R",,524210 - Insurance Agencies and Brokerages,250000.0,500000.0
FY23,,ALSE EQUIPMENT FOR AVIATION,INL/WHP,New,,,One year or less,Q3,$250k-500K,PERU,"Gaudreau, Margaret R",,336413 - Other Aircraft Parts and Auxiliary Equipment Manufacturing,250000.0,500000.0
FY23,,INITIAL ROTARY WING PILOT TRAINING,INL/WHP,Recompete,Melgar Colombia (Advanced rotary wing training center),Sole Source,One year or less,Q2,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,611512 - Flight Training,500000.0,1000000.0
FY23,,AVIATION FUEL TRUCKS,INL/WHP,New,,,One year or less,Q2,$500K-$1M,PERU,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,500000.0,1000000.0
FY23,,DOD AIRLIFT FOR PDM AIRCRAFTS (UH - 1HII),INL/WHP,New,,,One year or less,Q3,$1M-$5M,PERU,"Gaudreau, Margaret R",,336412 - Aircraft Engine and Engine Parts Manufacturing,1000000.0,5000000.0
FY23,,ARFF (AIR RESCUE FIRE FIGHTER),INL/WHP,New,,,One year or less,Q3,$1M-$5M,PERU,"Gaudreau, Margaret R",,"441227 - Motorcycle, ATV, and All Other Motor Vehicle Dealers",1000000.0,5000000.0
FY23,,JET A1 AVIATION FUEL,INL/WHP,New,,,One year or less,Q2,$250k-500K,PERU,"Gaudreau, Margaret R",,336413 - Other Aircraft Parts and Auxiliary Equipment Manufacturing,250000.0,500000.0
FY23,,PERUVIAN NATIONAL POLICE EDUCATIONAL REFORM BASED ON HUMAN RIGHTS,INL/WHP,Recompete,VIRTRA,Sole Source,One to three years,Q2,$250k-500K,PERU,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,250000.0,500000.0
FY23,,"THE POLICE PROGRAM IS PLANNING TO BUY TWO/THREE ADDITIONAL VIRTUAL RANGE EQUIPMENT FOR THE PROVINCES (AREQUIPA, TARAPOTO AND TRUJILLO IF POSSIBLE)",INL/WHP,Recompete,VIRTRA,Sole Source,One to three years,Q2,$500K-$1M,PERU,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,500000.0,1000000.0
FY23,,ML AND AF MENTORING PROGRAM - (INDEPENDENT STUDY),INL/WHP,New,,,One year or less,Q1,$250k-500K,PERU,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,250000.0,500000.0
FY23,,EQUIPMENT FOR FORENSIC LAB UNDER THE MEMORANDUM OF UNDERSTANDING ON ILLEGAL MINING,INL/WHP,New,,,One year or less,Q1,$250k-500K,PERU,"Gaudreau, Margaret R",,"423490 - Analytical instruments (e.g., chromatographic, photometers, spectrographs) merchant wholesalers",250000.0,500000.0
FY23,,"BIOMETRIC DATA SHARING PROGRAM (PROGRAM START-UP/ROLLOUT), BIOMETRIC AND DATA COLLECTION SYSTEMS",INL/WHP,New,,,One year or less,Q4,$250k-500K,PERU,"Gaudreau, Margaret R",,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,250000.0,500000.0
FY23,,PROCUREMENT OF FORENSIC EXAMINATION EQUIPMENT,INL/EA,New,,,One year or less,Q3,$250k-500K,ARMENIA,"Gaudreau, Margaret R",,"423490 - Analytical instruments (e.g., chromatographic, photometers, spectrographs) merchant wholesalers",250000.0,500000.0
FY23,,FIREARMS SIMULATOR,INL/EA,New,,,One year or less,Q3,$100M-$500M,ARMENIA,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,100000000.0,500000000.0
FY23,,POLICE UNIFORMS,INL/EA,Recompete,Human Technologies Corporation,Sole Source,One year or less,Q2,>$500M,ARMENIA,"Gaudreau, Margaret R",,458110 - Clothing and Clothing Accessories Retailers,500000000.0,
FY23,,PATROL POLICE EQUIPMENT,INL/EA,Recompete,Human Technologies Corporation,Sole Source,One year or less,Q2,$100M-$500M,ARMENIA,"Gaudreau, Margaret R",,423850 - Law Enforcement Equipment,100000000.0,500000000.0
FY23,,"LABOR, SERVICES, TOOLS, MATERIALS, EQUIPMENT, SOFTWARE, TRANSPORTATION, AND SUPERVISION (PROJECT MANAGEMENT)",INL/AME,Recompete,Prime Source Technologies LLC,Sole Source,One to three years,Q1,$5M-$10M,LEBANON,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,5000000.0,10000000.0
FY23,,IMPLEMENTATION OF POLICE RESOURCES INFORMATION MANAGEMENT SYSTEM (PRIMS) FOR THE ALBANIAN STATE POLICE (ASP).,INL/EA,New,,,More than five years,Q3,$1M-$5M,ALBANIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY23,,SCHOLARSHIPS  - 161 STUDENTS,INL/WHP,New,,,One year or less,Q1,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,923110 - Administration of Education Programs,250000.0,500000.0
FY23,,MARINE LITTORAL COMBAT BOATS (QTY 2),INL/WHP,New,,,One year or less,Q1,$500K-$1M,COLOMBIA,"Gaudreau, Margaret R",,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",500000.0,1000000.0
FY23,,OVERHAUL OF DEFENDER AND APOSTLE INTERCEPTOR BOAT FLEET (PLAN CARENA).,INL/WHP,New,,,One to three years,Q3,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",1000000.0,5000000.0
FY23,,SET UP OF  FUSION CENTER TO SUPPORT PACIFIC INTERDICTION OPERATIONS.,INL/WHP,New,,,One year or less,Q4,$1M-$5M,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,1000000.0,5000000.0
FY23,,MONITORING AND EVALUATION CONTRACT.,INL/WHP,New,,,One year or less,Q4,$250k-500K,COLOMBIA,"Gaudreau, Margaret R",,"541990 - All Other Professional, Scientific, and Technical Services",250000.0,500000.0
