name,president,president_byline,date,title,initial_joy,initial_sadness,initial_fear,initial_disgust,initial_surprise,revised_joy,revised_sadness,revised_fear,revised_disgust,revised_surprise,initial_idelogical_tilt,initial_immigration,initial_executive_power,initial_federalism,initial_security_liberty,initial_economic_regulation,initial_social_inclusion,revised_idelogical_tilt,revised_immigration,revised_executive_power,revised_federalism,revised_security_liberty,revised_economic_regulation,revised_social_inclusion
executive-order-12174-federal-paperwork-reduction,Jimmy Carter,39th President of the United States: 1977 ‐ 1981,1979-11-30,Executive Order 12174-Federal Paperwork Reduction,7.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,3.0,0.0,-3.0,0.0
executive-order-taking-military-possession-railroads,Abraham Lincoln,16th President of the United States: 1861 ‐ 1865,1862-05-25,Executive Order-Taking Military Possession of Railroads,1.0,1.0,6.0,1.0,5.0,1.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0
executive-order-revocation-camp-wright-military-reservation,Ulysses S. Grant,18th President of the United States: 1869 ‐ 1877,1876-07-26,Executive Order-Revocation of Camp Wright Military Reservation,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0
executive-order-12509-technical-review-group-inertial-confinement-fusion,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1985-04-14,Executive Order 12509-Technical Review Group on Inertial Confinement Fusion,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
executive-order-14174-revocation-certain-executive-orders,Donald J. Trump (2nd Term),47th President of the United States: 2025-present,2025-01-21,Executive Order 14174-Revocation of Certain Executive Orders,5.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,4.0,-1.0,0.0,3.0,0.0,-2.0,2.0,-1.0,-2.0,0.0,-2.0,0.0,-1.0,-1.0,-1.0
executive-order-6660-authorizing-the-heads-departments-independent-establishments-and,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-03-27,"Executive Order 6660-Authorizing the Heads of Departments, Independent Establishments, and Emergency Agencies to Make Certain Expenditures out of Allocations from the Appropriation for National Industrial Recovery",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0
executive-order-3024-indians-public-domain,Woodrow Wilson,28th President of the United States: 1913 ‐ 1921,1919-01-11,Executive Order 3024-Indians on Public Domain,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,-1.0,0.0,1.0,3.0,0.0,2.0,-2.0,-1.0,0.0,1.0,3.0,0.0,1.0,-2.0
executive-order-setting-aside-certain-public-lands-for-use-connection-with-experimental,Theodore Roosevelt,26th President of the United States: 1901 ‐ 1909,1902-08-09,Executive Order-Setting Aside Certain Public Lands for Use in Connection with Experimental Tree Planting,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-12848-federal-plan-break-the-cycle-homelessness,William J. Clinton,42nd President of the United States: 1993 ‐ 2001,1993-05-19,Executive Order 12848-Federal Plan To Break the Cycle of Homelessness,7.0,3.0,1.0,1.0,5.0,7.0,3.0,1.0,1.0,5.0,2.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,3.0,0.0,2.0,3.0
executive-order-9578-approving-regulations-the-civil-service-commission-under-the-federal,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1945-06-30,Executive Order 9578-Approving Regulations of the Civil Service Commission Under the Federal Employees Pay Act of 1945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
executive-order-9807-authorizing-the-civil-service-commission-confer-competative-civil,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1946-11-29,Executive Order 9807-Authorizing the Civil Service Commission to Confer a Competative Civil Service Status Upon Certain Groups of Employees,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
executive-order-11277-designating-the-international-telecommunications-satellite,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1966-04-30,"Executive Order 11277-Designating the International Telecommunications Satellite Consortium as an International Organization Entitled to Enjoy Certain Privileges, Exemptions, and Immunities",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
executive-order-10313-amendment-executive-order-no-10011-october-22-1948-amended,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1951-12-14,"Executive Order 10313-Amendment of Executive Order No. 10011 of October 22, 1948, as Amended, Authorizing the Secretary of State to Exercise Certain Powers of the President with Respect to the Granting of Allowances and Allotments to Government Personnel on Foreign Duty",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-7256-modification-executive-order-no-6910-november-26-1934-amended,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1935-12-21,"Executive Order 7256-Modification of Executive Order No. 6910, of November 26, 1934, as Amended, Withdrawing Public Lands in Certain States",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-11333-partially-suspending-section-6374-title-10-the-united-states-code,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1967-03-07,"Executive Order 11333-Partially Suspending Section 6374 of Title 10 of the United States Code, Relating to Retirement of Brigadier Generals of the Marine Corps",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
executive-order-amendment-civil-service-rules-49,Benjamin Harrison,23rd President of the United States: 1889 ‐ 1893,1891-02-21,Executive Order-Amendment of Civil Service Rules,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-11633-security-clearance-program-for-united-states-citizens-employed,Richard Nixon,37th President of the United States: 1969 ‐ 1974,1971-12-03,"Executive Order 11633-Security Clearance Program for United States Citizens Employed Directly by the North Atlantic Treaty Organization, the South-East Asia Treaty Organization, and the Central Treaty Organization",7.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0
executive-order-13934-building-and-rebuilding-monuments-american-heroes,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-07-03,Executive Order 13934-Building and Rebuilding Monuments to American Heroes,5.0,4.0,3.0,6.0,2.0,6.0,3.0,2.0,5.0,1.0,-3.0,0.0,3.0,2.0,2.0,0.0,-2.0,-3.0,0.0,3.0,2.0,2.0,0.0,-2.0
executive-order-11359-adding-the-secretary-transportation-the-membership-the-presidents,Lyndon B. Johnson,36th President of the United States: 1963 ‐ 1969,1967-06-29,Executive Order 11359-A-Adding the Secretary of Transportation to the Membership of the President's Council on Recreation and Natural Beauty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
executive-order-12699-seismic-safety-federal-and-federally-assisted-or-regulated-new,George Bush,41st President of the United States: 1989 ‐ 1993,1990-01-05,Executive Order 12699-Seismic Safety of Federal and Federally Assisted or Regulated New Building Construction,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0
executive-order-7352-excluding-certain-tracts-land-from-tongass-national-forest-and,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1936-04-23,Executive Order 7352-Excluding Certain Tracts of Land From Tongass National Forest and Restoring Them to Entry in Alaska,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0
executive-order-6981-removing-certain-cases-restrictions-imposed-public-resolution-53-june,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1935-03-02,"Executive Order 6981-Removing, in Certain Cases, Restrictions Imposed by Public Resolution 53, of June 27, 1934, as to Payments, Transfers, and Deliveries of Property under the Trading with the Enemy Act and the Settlement of War Claims Act of 1928",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0
executive-order-11463-placing-additional-position-level-v-the-federal-executive-salary,Richard Nixon,37th President of the United States: 1969 ‐ 1974,1969-04-01,Executive Order 11463-Placing an Additional Position in Level V of the Federal Executive Salary Schedule,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-13433-protecting-american-taxpayers-from-payment-contingency-fees,George W. Bush,43rd President of the United States: 2001 ‐ 2009,2007-05-16,Executive Order 13433-Protecting American Taxpayers From Payment of Contingency Fees,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
executive-order-5950-tongass-national-forest-alaska,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1932-11-19,"Executive Order 5950-Tongass National Forest, Alaska",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-7532-establishing-shinnecock-migratory-bird-refuge-the-state-new-york,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1937-01-08,Executive Order 7532-Establishing Shinnecock Migratory Bird Refuge in the State of New York,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
executive-order-6756-c-approval-code-fair-competition-for-the-wholesale-fresh-fruit-and,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-06-29,Executive Order 6756-C-Approval of Code of Fair Competition for the Wholesale Fresh Fruit and Vegetable Distributive Industry,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0
executive-order-8039-establishing-the-kofa-game-range,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1939-01-25,Executive Order 8039-Establishing the Kofa Game Range,7.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0
executive-order-11971-director-the-federal-bureau-investigation,Jimmy Carter,39th President of the United States: 1977 ‐ 1981,1977-02-11,Executive Order 11971-Director of the Federal Bureau of Investigation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
executive-order-13916-national-emergency-authority-temporarily-extend-deadlines-for,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-04-18,Executive Order 13916-National Emergency Authority To Temporarily Extend Deadlines for Certain Estimated Payments,2.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0
executive-order-12882-presidents-committee-advisors-science-and-technology,William J. Clinton,42nd President of the United States: 1993 ‐ 2001,1993-11-23,Executive Order 12882-President's Committee of Advisors on Science and Technology,5.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
executive-order-6280-revocation-withdrawal-public-lands-pending-resurvey-new-mexico,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1933-09-13,"Executive Order 6280-Revocation of Withdrawal of Public Lands Pending Resurvey, New Mexico",3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,-2.0
executive-order-12172-iranian-aliens,Jimmy Carter,39th President of the United States: 1977 ‐ 1981,1979-11-26,Executive Order 12172-Iranian Aliens,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.0,2.0,1.0,3.0,0.0,-2.0
executive-order-12010-federal-civilian-and-military-pay-increases,Jimmy Carter,39th President of the United States: 1977 ‐ 1981,1977-09-28,Executive Order 12010-Federal Civilian and Military Pay Increases,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
executive-order-11723-further-providing-for-the-stabilization-the-economy,Richard Nixon,37th President of the United States: 1969 ‐ 1974,1973-06-13,Executive Order 11723-Further Providing for the Stabilization of the Economy,2.0,2.0,3.0,1.0,4.0,2.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0
executive-order-7557-amendment-executive-order-no-7530-december-31-1936-transferring,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1937-02-19,"Executive Order 7557-Amendment of Executive Order No. 7530 of December 31, 1936, Transferring Functions, Funds, Property, etc., of the Resettlement Administration to the Secretary of Agriculture",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,3.0,0.0
executive-order-13903-combating-human-trafficking-and-online-child-exploitation-the-3,Donald J. Trump (1st Term),45th President of the United States: 2017 ‐ 2021,2020-01-31,Executive Order 13903-Combating Human Trafficking and Online Child Exploitation in the United States,1.0,6.0,7.0,8.0,4.0,1.0,7.0,8.0,9.0,5.0,0.0,0.0,3.0,3.0,4.0,0.0,5.0,0.0,0.0,3.0,3.0,4.0,0.0,5.0
executive-order-13548-increasing-federal-employment-individuals-with-disabilities,Barack Obama,44th President of the United States: 2009 ‐ 2017,2010-07-26,Executive Order 13548-Increasing Federal Employment of Individuals With Disabilities,7.0,4.0,1.0,1.0,3.0,7.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,5.0
executive-order-concerning-blockade,Abraham Lincoln,16th President of the United States: 1861 ‐ 1865,1862-11-12,Executive Order-Concerning Blockade,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
executive-order-10411-restoring-certain-lands-comprising-parts-the-aiea-military,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1952-11-14,Executive Order 10411-Restoring Certain Lands Comprising Parts of the Aiea Military Reservation of the Jurisdiction of the Territory of Hawaii,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0
executive-order-9165-providing-for-the-protection-essential-facilities-from-sabotage-and,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1942-05-19,Executive Order 9165-Providing for the Protection of Essential Facilities From Sabotage and Other Destructive Acts,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0
executive-order-12414-establishment-emergency-board-no-201-investigate-railroad-labor,Ronald Reagan,40th President of the United States: 1981 ‐ 1989,1983-04-04,Executive Order 12414-Establishment of Emergency Board No. 201 To Investigate a Railroad Labor Dispute,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-14210-implementing-the-presidents-department-government-efficiency,Donald J. Trump (2nd Term),47th President of the United States: 2025-present,2025-02-11,"Executive Order 14210-Implementing The President's ""Department of Government Efficiency"" Workforce Optimization Initiative",6.0,1.0,2.0,3.0,4.0,7.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,2.0,1.0,1.0,-2.0,-2.0
executive-order-7742-enlarging-tongass-national-forest,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1937-11-19,Executive Order 7742-Enlarging Tongass National Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-10662-amendment-executive-order-no-10480-and-revocation-executive-order-no,Dwight D. Eisenhower,34th President of the United States: 1953 ‐ 1961,1956-03-13,"Executive Order 10662-Amendment of Executive Order No. 10480 and Revocation of Executive Order No. 10160, Relating to the Administration of the Defense Production Act of 1950",2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0
executive-order-5219-reserving-certain-described-lands-for-alaska-reindeer-service,Herbert Hoover,31st President of the United States: 1929 ‐ 1933,1929-11-05,"Executive Order 5219-Reserving Certain Described Lands for Alaska Reindeer Service Purposes, Alaska",2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-9880-creating-emergency-board-investigate-dispute-between-the-river,Harry S Truman,33rd President of the United States: 1945 ‐ 1953,1947-08-01,Executive Order 9880-Creating an Emergency Board to Investigate a Dispute Between the River Terminal Railway Company and Certain of Its Employees,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
executive-order-3363-ponca-indians-oklahoma,Woodrow Wilson,28th President of the United States: 1913 ‐ 1921,1920-12-01,Executive Order 3363-Ponca Indians in Oklahoma,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive-order-6549-providing-for-audit-accounts-emergency-agencies,Franklin D. Roosevelt,32nd President of the United States: 1933 ‐ 1945,1934-01-03,Executive Order 6549-Providing for Audit of Accounts of Emergency Agencies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0
executive-order-12173-panama-canal,Jimmy Carter,39th President of the United States: 1977 ‐ 1981,1979-11-29,Executive Order 12173-Panama Canal,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
executive-order-11562-developing-and-coordinating-national-program-for-physical-fitness,Richard Nixon,37th President of the United States: 1969 ‐ 1974,1970-09-25,Executive Order 11562-Developing and Coordinating a National Program for Physical Fitness and Sports,7.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
